CCG_CODE,TOTAL_ALL,TOTAL_MALE,TOTAL_FEMALE,MALE_0-4,MALE_5-9,MALE_10-14,MALE_15-19,MALE_20-24,MALE_25-29,MALE_30-34,MALE_35-39,MALE_40-44,MALE_45-49,MALE_50-54,MALE_55-59,MALE_60-64,MALE_65-69,MALE_70-74,MALE_75-79,MALE_80-84,Male_85-89,MALE_90-94,MALE_95+,FEMALE_0-4,FEMALE_5-9,FEMALE_10-14,FEMALE_15-19,FEMALE_20-24,FEMALE_25-29,FEMALE_30-34,FEMALE_35-39,FEMALE_40-44,FEMALE_45-49,FEMALE_50-54,FEMALE_55-59,FEMALE_60-64,FEMALE_65-69,FEMALE_70-74,FEMALE_75-79,FEMALE_80-84,FEMALE_85-89,FEMALE_90-94,FEMALE_95+
00C,106636,52686,53950,3186,3224,3058,2969,3094,3234,3377,3262,3740,4059,3924,3449,3068,3123,2143,1725,1140,645,235,31,2969,3129,2831,3058,3154,3338,3377,3203,3716,3855,3904,3474,3113,3155,2258,2129,1531,1061,569,126
00D,288773,143366,145407,8104,8258,7809,8647,8531,8789,8635,7999,9612,11228,10986,9890,8995,8996,6321,5066,3217,1635,562,86,7618,7885,7481,8059,8485,8472,8427,7902,9678,10972,10868,9992,9110,9251,6825,5755,4368,2694,1227,338
00F,206668,103087,103581,5702,5563,5182,6365,6432,6983,7323,6588,7204,7750,7739,6803,5938,5832,4072,3572,2455,1153,375,56,5432,5485,5026,6120,6082,6952,7077,6104,6951,7422,7433,6479,5759,6126,4646,4270,3205,1921,866,225
00G,160940,81849,79091,3855,3561,3231,4989,12448,9769,7202,5539,5212,5115,4755,4113,3405,3045,2010,1602,1098,631,233,36,3646,3311,3079,5360,13810,8512,5995,4389,4216,4372,4423,3868,3311,3015,2232,2044,1657,1101,592,158
00H,135355,68698,66657,4642,4320,3932,4119,5056,5668,5565,4941,4722,4629,4627,3983,3315,3048,2072,1763,1312,695,242,47,4320,4345,3720,3886,4618,5275,5046,4068,4082,4164,4340,3949,3241,3119,2428,2395,1798,1154,556,153
00J,249977,123542,126435,6655,6592,6181,7408,10716,8307,7821,6995,8292,9191,8814,7927,7454,7299,5343,4087,2642,1300,440,78,6228,6378,5807,7394,11371,7891,7518,7006,8160,9122,8774,8082,7356,7744,5636,4937,3486,2197,1061,287
00K,292975,144960,148015,9110,9093,8274,8983,9640,9802,9391,8427,9844,10772,10739,9612,8398,7928,5369,4469,3055,1441,542,71,8573,8905,7793,8475,9535,9768,9475,8493,9654,10724,10980,9615,8434,8234,5958,5437,4177,2373,1168,244
00L,322155,158151,164004,8051,8735,8561,9216,8712,8644,8115,8379,10141,11605,12361,11641,11149,11579,8069,6073,4068,2162,764,126,7623,8038,8182,8645,8260,8442,8520,8519,10505,12113,12735,12004,11542,12060,8626,7173,5368,3425,1793,431
00M,292030,146097,145933,9242,8964,8068,8763,10428,10926,9774,8610,9487,10379,10500,9372,8065,7967,5711,4637,3005,1578,526,95,8718,8576,7785,8488,9953,10162,9284,7815,9013,10178,10378,9266,8313,8242,6196,5500,3999,2517,1245,305
00N,155125,77439,77686,4235,4169,3896,4458,5146,5387,5064,4620,5385,5998,5974,5500,4625,4406,3040,2524,1728,907,321,56,4029,4056,3829,4191,4674,5196,4879,4304,4846,5671,5839,5265,4677,4494,3361,3096,2558,1695,843,183
00P,283810,141479,142331,7718,7891,7459,8190,9776,10154,9489,8356,10008,10644,10726,9722,8370,7855,5399,4594,3175,1413,469,71,7322,7736,6939,7870,9771,9726,8866,8032,9405,10252,10168,9449,8465,8348,6122,5555,4314,2585,1143,263
00Q,169878,86252,83626,6060,6125,5812,5986,5810,6176,6402,5720,6191,6291,5680,4883,4177,3890,2750,2027,1303,689,242,38,5689,5956,5490,5349,5418,6176,6061,5145,5701,5764,5304,4670,3995,3886,2853,2436,1827,1180,592,134
00R,171635,86611,85024,4603,4616,4439,4863,5384,5727,5559,4890,6001,6972,6881,5937,4930,5235,3898,3085,2036,1097,398,60,4507,4449,4189,4771,5348,5582,5135,4381,5432,6279,6161,5296,4691,5273,4165,3628,2753,1803,940,241
00T,299327,150888,148439,10038,10203,9341,9457,9559,10482,10554,9913,10991,11445,10351,8719,7935,7854,5591,4148,2479,1286,469,73,9519,9567,8497,8743,9391,10602,10225,8966,10226,10547,9909,8418,7695,8138,6044,4689,3510,2280,1214,259
00V,197929,98376,99553,6450,6429,5884,5715,6032,6387,6704,6168,6995,7626,7367,5990,5343,5559,3805,2888,1735,899,336,64,6073,6132,5522,5578,5880,6521,6667,6195,6832,7346,7057,5817,5341,5683,4238,3481,2505,1640,822,223
00W,221101,116720,104381,7427,7189,5949,7491,12240,12297,12510,10837,9348,8185,6682,5017,3491,2594,1944,1704,1094,524,161,36,7103,6880,5657,7839,13892,11284,10393,7925,6414,6106,4988,3805,3034,2399,2072,1907,1392,865,337,89
